#Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Créditos Extraordinarios,Créditos Totales consignados,Obligaciones Reconocidas,Disponible de Remanentes por aplicación
0402B,16000,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,71.0,,71.0,,
0402B,16000,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,95.0,,95.0,1953.16,
0402B,16000,21900,REPAR/MANTEN. OTRO INMOVILIZADO MATERIAL,50000.0,,50000.0,25202.58,
0402B,16000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,1500.0,,1500.0,,
0402B,16000,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",1500.0,,927.47,,
0402B,16000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,1500.0,,1500.0,,
0402B,16000,22103,COMBUSTIBLES Y CARBURANTES,2360.0,,2360.0,,
0402B,16000,22109,ÚTILES Y HERRAMIENTAS,85.5,,85.5,,
0402B,16000,22199,OTROS SUMINISTROS,85.5,,85.5,,
0402B,16000,22502,TRIBUTOS DE LAS ENTIDADES LOCALES,600000.0,,,,
0402B,16000,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",750.0,,750.0,,
0402B,16000,22701,SEGURIDAD,,,,8613.42,
0402B,16000,22703,SERVICIOS POSTALES Y MENSAJERÍA,190.0,,190.0,,
0402B,16000,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,159216.95,12663.45,155599.8,82999.9,
0402B,16000,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,5086672.02,14488854.13,19575526.15,12015439.35,
0402B,16000,23020,DIETAS DEL PERSONAL NO DIRECTIVO,71.0,,71.0,,
0402B,16000,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,190.0,,190.0,,
0402B,16000,35200,INTERESES DE DEMORA,6000.0,,6000.0,,
0402B,16000,60900,OTRAS INVERSIONES NUEVAS EN INFR EST. Y BIENES DE USO GNRAL.,75000.0,,75000.0,3057.42,
0402B,16000,61900,OTRAS REPOSICIONES DE USO GENERAL,2248900.0,156298.59,2405198.59,1732952.61,
0402B,16000,62400,ELEMENTOS DE TRANSPORTE,,16280.6,16280.6,,
0402B,16100,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,13441.8,,13441.8,13441.8,
0402B,16100,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,96.86,,96.86,,
0402B,16100,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,26180.28,,21280.28,21235.12,
0402B,16100,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,10894.5,,394.5,,
0402B,16100,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,12994.2,,10994.2,10903.98,
0402B,16100,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,27498.3,,20798.3,20797.13,
0402B,16100,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,28713.55,,19713.55,19622.29,
0402B,16100,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,55316.08,,40316.08,39477.07,
0402B,16100,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,4199.04,,2199.04,2121.44,
0402B,16100,12300,RESIDENCIA PERSONAL FUNCIONARIO,8028.78,,6028.78,5488.51,
0402B,16100,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,29264.13,,27264.13,27195.13,
0402B,16100,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,26513.16,,26513.16,24417.04,
0402B,16100,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,322.54,,322.54,,
0402B,16100,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,152958.03,,152958.03,163112.21,
0402B,16100,21200,REPAR/MANTEN. EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,24.72,
0402B,16100,21300,"REPAR/MANTEN. MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE",95.0,,95.0,,
0402B,16100,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,71.0,,71.0,485.28,
0402B,16100,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,95.0,,95.0,,
0402B,16100,21900,REPAR/MANTEN. OTRO INMOVILIZADO MATERIAL,,,,27721.81,
0402B,16100,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,1500.0,,1500.0,196.72,
0402B,16100,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",1500.0,,1500.0,,
0402B,16100,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,1500.0,,1500.0,1459.27,
0402B,16100,22103,COMBUSTIBLES Y CARBURANTES,2360.0,,2360.0,,
0402B,16100,22109,ÚTILES Y HERRAMIENTAS,85.5,,85.5,,
0402B,16100,22199,OTROS SUMINISTROS,85.5,,85.5,,
0402B,16100,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",750.0,,750.0,,
0402B,16100,22699,OTROS GASTOS DIVERSOS,3332.52,,3332.52,,
0402B,16100,22703,SERVICIOS POSTALES Y MENSAJERÍA,190.0,,190.0,,
0402B,16100,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,94809.75,,94809.75,21522.61,
0402B,16100,23020,DIETAS DEL PERSONAL NO DIRECTIVO,71.0,,71.0,,
0402B,16100,23100,LOCOMOCIONES DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,,,,347.01,
0402B,16100,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,190.0,,190.0,,
0402B,16100,60900,OTRAS INVERSIONES NUEVAS EN INFR EST. Y BIENES DE USO GNRAL.,126100.0,,126100.0,,
0402B,23100,48900,OTRAS TRANSFERENCIAS,300000.0,,300000.0,,
0501A,92400,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,112.02,,112.02,,
0501A,92400,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,8726.76,,8726.76,8726.76,
0501A,92400,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,2156.4,,2156.4,2156.64,
0501A,92400,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,5762.99,,5762.99,5709.77,
0501A,92400,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,6249.8,,6249.8,6179.28,
0501A,92400,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,13103.7,,13103.7,12948.96,
0501A,92400,12300,RESIDENCIA PERSONAL FUNCIONARIO,1418.45,,1418.45,1401.12,
0501A,92400,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,222841.47,,221341.47,220187.84,
0501A,92400,20300,"ARRENDAMIENTO MAQUINARIA, INSTALACIONES Y UTILLAJE",2000.0,,2000.0,18843.82,
0501A,92400,20800,ARRENDAMIENTO DE OTRO INMOVILIZADO MATERIAL,2000.0,,2000.0,349.53,
0501A,92400,21200,REPAR/MANTEN. EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,2853.55,
0501A,92400,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,2000.0,,1000.0,,
0501A,92400,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,400.0,,400.0,530.31,
0501A,92400,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,6000.0,,2000.0,82.39,
0501A,92400,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",200.0,,200.0,,
0501A,92400,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,5800.0,,1800.0,1093.55,
0501A,92400,22105,PRODUCTOS ALIMENTICIOS,1000.0,,1000.0,90.35,
0501A,92400,22199,OTROS SUMINISTROS,,,,3901.0,
0501A,92400,22201,COMUNICACIONES POSTALES,200.0,,200.0,,
0501A,92400,22300,GASTOS DE TRANSPORTES,2000.0,,2000.0,5822.2,
0501A,92400,22403,PRIMAS DE SEGUROS. OTROS RIESGOS,2000.0,,1000.0,,
0501A,92400,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,1000.0,,763.65,,
0501A,92400,22602,PUBLICIDAD Y PROPAGANDA,1000.0,,1000.0,5581.38,
0501A,92400,22606,"REUNIONES, CONFERENCIAS Y CURSOS",35000.0,,35000.0,13760.0,
0501A,92400,22699,OTROS GASTOS DIVERSOS,36000.0,,61000.0,68271.8,
0501A,92400,22700,LIMPIEZA Y ASEO,2000.0,,2000.0,2162.47,
0501A,92400,22701,SEGURIDAD,2000.0,,2000.0,3206.28,
0501A,92400,22703,SERVICIOS POSTALES Y MENSAJERÍA,4000.0,,3810.1,,
0501A,92400,23000,DIETAS DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,6000.0,,6000.0,,
0501A,92400,23020,DIETAS DEL PERSONAL NO DIRECTIVO,4200.0,,4200.0,121.77,
0501A,92400,23100,LOCOMOCIONES DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,4000.0,,4000.0,,
0501A,92400,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,6200.0,,6200.0,1325.24,
0502A,92000,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,560.08,,,,
0502A,92000,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,8726.76,,8726.76,8726.76,
0502A,92000,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,5447.25,,,,
0502A,92000,12005,SUELDOS PERSONAL FUNCIONARIO GRUPO E,6647.52,,147.52,,
0502A,92000,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,3783.6,,1783.6,1771.56,
0502A,92000,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,13531.44,,8531.44,8161.65,
0502A,92000,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,13224.64,,6224.64,6179.28,
0502A,92000,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,23729.58,,12948.96,12948.96,
0502A,92000,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,3705.48,,,,
0502A,92000,12300,RESIDENCIA PERSONAL FUNCIONARIO,3373.82,,1873.82,1401.12,
0502A,92000,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,49711.46,,47711.46,47460.98,
0502A,92000,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,41432.59,,40432.59,39998.0,
0502A,92000,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,1677.84,,963.24,963.24,
0502A,92000,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,498558.07,,484058.07,482820.42,
0502A,92000,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,114212.89,,114212.89,118828.68,
0502A,92000,21000,REPAR/MANTEN. INFR ESTRUCTURA Y BIENES NATURALES,10000.0,,10000.0,,
0502A,92000,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,2500.0,,2500.0,,
0502A,92000,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,2500.0,,2500.0,,
0502A,92000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,3000.0,,3000.0,,
0502A,92000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,2500.0,,2500.0,,
0502A,92000,22104,VESTUARIO,,,,10677.78,
0502A,92000,22199,OTROS SUMINISTROS,16000.0,,16000.0,,
0502A,92000,22300,GASTOS DE TRANSPORTES,6000.0,,6000.0,875.5,
0502A,92000,22602,PUBLICIDAD Y PROPAGANDA,4000.0,,4000.0,1605.0,
0502A,92000,22606,"REUNIONES, CONFERENCIAS Y CURSOS",8000.0,,8000.0,,
0502A,92000,22609,ACTIVIDADES CULTURALES Y DEPORTIVAS,17500.0,,17500.0,72511.78,
0502A,92000,22699,OTROS GASTOS DIVERSOS,80000.0,,80000.0,,
0502A,92000,22701,SEGURIDAD,4000.0,,4000.0,1080.0,
0502A,92000,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,4000.0,,4000.0,,
0502A,92000,62400,ELEMENTOS DE TRANSPORTE,,,,,
0502B,23100,21200,REPAR/MANTEN. EDIFICIOS Y OTRAS CONSTRUCCIONES,1000.0,,1000.0,283.51,
0502B,23100,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,600.0,,600.0,48.15,
0502B,23100,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,,,,77.95,
0502B,23100,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,100.0,,100.0,,
0502B,23100,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",150.0,,150.0,264.57,
0502B,23100,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,1000.0,,1000.0,4000.0,
0502B,23100,22300,GASTOS DE TRANSPORTES,200.0,,200.0,,
0502B,23100,22403,PRIMAS DE SEGUROS. OTROS RIESGOS,2000.0,,2000.0,1971.6,
0502B,23100,22606,"REUNIONES, CONFERENCIAS Y CURSOS",3000.0,,3000.0,5191.64,
0502B,23100,22699,OTROS GASTOS DIVERSOS,9850.0,,9850.0,10847.58,
0502B,23100,22701,SEGURIDAD,300.0,,300.0,,
0502B,23100,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,200.0,,200.0,,
0502B,23100,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,5000.0,,5000.0,715.0,
0502B,23100,48000,ATENCIONES BENÉFICAS Y ASISTENCIALES,11600.0,,11600.0,11599.0,
0502B,32600,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,2000.0,,200.0,2300.0,
0502B,32600,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,1600.0,,1600.0,,
0502B,32600,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,4000.0,,4000.0,6000.0,
0502B,32600,22110,PRODUCTOS DE LIMPIEZA Y ASEO,500.0,,500.0,,
0502B,32600,22300,GASTOS DE TRANSPORTES,3000.0,,1905.06,,
0502B,32600,22606,"REUNIONES, CONFERENCIAS Y CURSOS",5000.0,,5000.0,10239.76,
0502B,32600,22699,OTROS GASTOS DIVERSOS,21200.0,,21200.0,15865.3,
0502B,32600,62500,MOBILIARIO,,,2894.94,,
0502B,92400,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,11622.84,,11622.84,11622.84,
0502B,92400,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,7263.0,,7263.0,7263.0,
0502B,92400,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,5972.88,,5972.88,5761.84,
0502B,92400,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,11045.07,,11045.07,11138.71,
0502B,92400,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,12159.12,,12159.12,11810.43,
0502B,92400,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,22721.76,,24121.76,23332.56,
0502B,92400,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,1397.76,,1397.76,606.12,
0502B,92400,12300,RESIDENCIA PERSONAL FUNCIONARIO,2853.96,,2853.96,2853.96,
0502B,92400,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,16019.12,,16019.12,16013.38,
0502B,92400,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,13460.52,,13460.52,13460.52,
0502B,92400,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,1286.28,,1286.28,1047.72,
0502B,92400,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,179782.89,,179782.89,179579.14,
0502B,92400,20500,ARRENDAMIENTO DE MOBILIARIO Y ENSERES,7000.0,,7000.0,,
0502B,92400,20800,ARRENDAMIENTO DE OTRO INMOVILIZADO MATERIAL,5000.0,,5000.0,2450.3,
0502B,92400,21000,REPAR/MANTEN. INFR ESTRUCTURA Y BIENES NATURALES,48000.0,,48000.0,36715.7,
0502B,92400,21200,REPAR/MANTEN. EDIFICIOS Y OTRAS CONSTRUCCIONES,8000.0,,8000.0,,
0502B,92400,21300,"REPAR/MANTEN. MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE",500.0,,500.0,,
0502B,92400,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,200.0,,200.0,,
0502B,92400,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,500.0,,500.0,1230.5,
0502B,92400,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,4000.0,,4000.0,3000.0,
0502B,92400,22104,VESTUARIO,1000.0,,1000.0,1094.99,
0502B,92400,22109,ÚTILES Y HERRAMIENTAS,500.0,,500.0,,
0502B,92400,22199,OTROS SUMINISTROS,200.0,,200.0,12994.35,
0502B,92400,22300,GASTOS DE TRANSPORTES,20000.0,,20000.0,44448.13,
0502B,92400,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,100.0,,100.0,,
0502B,92400,22602,PUBLICIDAD Y PROPAGANDA,100.0,,100.0,1275.44,
0502B,92400,22603,PUBLICACIÓN EN DIARIOS OFICIALES,,,,658.69,
0502B,92400,22609,ACTIVIDADES CULTURALES Y DEPORTIVAS,36100.0,,36100.0,50423.0,
0502B,92400,22699,OTROS GASTOS DIVERSOS,71000.0,,71000.0,33299.71,
0502B,92400,22700,LIMPIEZA Y ASEO,,,,802.5,
0502B,92400,22701,SEGURIDAD,3000.0,,3000.0,15348.97,
0502B,92400,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,200.0,,200.0,,
0502B,92400,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,1200.0,,1200.0,1215.0,
0502B,92400,48100,"PREMIOS, BECAS, PENSIONES PARA ESTUDIO E INVESTIGACIÓN",1400.0,,1400.0,1400.0,
0502B,92400,62200,EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,815.74,
0502B,92400,62500,MOBILIARIO,9000.0,,9000.0,2440.18,
0502B,92400,62600,EQUIPOS PARA PROCESOS DE INFORMACIÓN,,,,2134.65,
0502C,23100,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,400.0,,400.0,,
0502C,23100,21200,REPAR/MANTEN. EDIFICIOS Y OTRAS CONSTRUCCIONES,405.0,,405.0,216.0,
0502C,23100,21300,"REPAR/MANTEN. MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE",450.0,,450.0,,
0502C,23100,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,618.0,,618.0,,
0502C,23100,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,405.0,,405.0,,
0502C,23100,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",405.0,,405.0,,
0502C,23100,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,1620.0,,1620.0,790.09,
0502C,23100,22300,GASTOS DE TRANSPORTES,2000.0,,2000.0,,
0502C,23100,22403,PRIMAS DE SEGUROS. OTROS RIESGOS,1890.0,,1890.0,1399.2,
0502C,23100,22606,"REUNIONES, CONFERENCIAS Y CURSOS",1000.0,,1000.0,,
0502C,23100,22609,ACTIVIDADES CULTURALES Y DEPORTIVAS,,,,1326.8,
0502C,23100,22699,OTROS GASTOS DIVERSOS,6870.0,,6870.0,1908.88,
0502C,23100,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,6000.0,,6000.0,,
0502C,23100,23020,DIETAS DEL PERSONAL NO DIRECTIVO,500.0,,500.0,,
0502C,23100,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,1215.0,,1215.0,,
0502C,23100,48000,ATENCIONES BENÉFICAS Y ASISTENCIALES,20600.0,,20600.0,20536.0,
0502C,32600,20200,ARRENDAMIENTO DE EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,2000.0,
0502C,32600,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,,,,975.0,
0502C,32600,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,450.0,,450.0,,
0502C,32600,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,450.0,,450.0,,
0502C,32600,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",400.0,,400.0,,
0502C,32600,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,400.0,,400.0,,
0502C,32600,22199,OTROS SUMINISTROS,630.0,,630.0,,
0502C,32600,22300,GASTOS DE TRANSPORTES,3000.0,,3000.0,,
0502C,32600,22403,PRIMAS DE SEGUROS. OTROS RIESGOS,1000.0,,1000.0,,
0502C,32600,22602,PUBLICIDAD Y PROPAGANDA,,,,3603.4,
0502C,32600,22606,"REUNIONES, CONFERENCIAS Y CURSOS",810.0,,810.0,,
0502C,32600,22609,ACTIVIDADES CULTURALES Y DEPORTIVAS,15475.0,,15475.0,5969.53,
0502C,32600,22699,OTROS GASTOS DIVERSOS,4000.0,,4000.0,15691.96,
0502C,32600,22701,SEGURIDAD,810.0,,810.0,,
0502C,32600,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,1000.0,,1000.0,,
0502C,92400,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,34868.52,,34868.52,34868.52,
0502C,92400,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,11258.04,,11258.04,11189.12,
0502C,92400,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,19931.66,,19931.66,19920.99,
0502C,92400,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,19970.76,,19970.76,19970.76,
0502C,92400,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,42267.36,,42267.36,42267.36,
0502C,92400,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,11631.84,,11039.04,11039.04,
0502C,92400,12300,RESIDENCIA PERSONAL FUNCIONARIO,5097.6,,5097.6,5097.6,
0502C,92400,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,18777.05,,18777.05,18772.84,
0502C,92400,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,19000.08,,19000.08,19000.08,
0502C,92400,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,111914.73,,111914.73,111259.1,
0502C,92400,20300,"ARRENDAMIENTO MAQUINARIA, INSTALACIONES Y UTILLAJE",11350.0,,11350.0,663.4,
0502C,92400,20400,ARRENDAMIENTO DE MATERIAL DE TRANSPORTE,,,,618.0,
0502C,92400,20800,ARRENDAMIENTO DE OTRO INMOVILIZADO MATERIAL,10000.0,,10000.0,8415.66,
0502C,92400,21000,REPAR/MANTEN. INFR ESTRUCTURA Y BIENES NATURALES,10000.0,,10000.0,3999.78,
0502C,92400,21200,REPAR/MANTEN. EDIFICIOS Y OTRAS CONSTRUCCIONES,7315.0,,7315.0,7789.26,
0502C,92400,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,700.0,,700.0,,
0502C,92400,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,450.0,,450.0,379.61,
0502C,92400,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",450.0,,450.0,,
0502C,92400,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,2907.0,,2907.0,3138.74,
0502C,92400,22104,VESTUARIO,600.0,,600.0,148.56,
0502C,92400,22109,ÚTILES Y HERRAMIENTAS,1485.0,,1485.0,,
0502C,92400,22199,OTROS SUMINISTROS,500.0,,500.0,76.39,
0502C,92400,22300,GASTOS DE TRANSPORTES,12500.0,,12500.0,4416.19,
0502C,92400,22403,PRIMAS DE SEGUROS. OTROS RIESGOS,1215.0,,1215.0,,
0502C,92400,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,1000.0,,1000.0,1070.0,
0502C,92400,22602,PUBLICIDAD Y PROPAGANDA,4790.0,,4790.0,8282.25,
0502C,92400,22603,PUBLICACIÓN EN DIARIOS OFICIALES,,,,3302.12,
0502C,92400,22609,ACTIVIDADES CULTURALES Y DEPORTIVAS,90000.0,,90000.0,64358.14,
0502C,92400,22699,OTROS GASTOS DIVERSOS,50000.0,,44157.8,29388.54,
0502C,92400,22700,LIMPIEZA Y ASEO,2200.0,,2200.0,,
0502C,92400,22701,SEGURIDAD,5000.0,,5000.0,202.62,
0502C,92400,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,2250.0,,2250.0,,
0502C,92400,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,300.0,,300.0,117.45,
0502C,92400,62200,EDIFICIOS Y OTRAS CONSTRUCCIONES,,,3937.6,3937.6,
0502C,92400,62600,EQUIPOS PARA PROCESOS DE INFORMACIÓN,,,1904.6,,
0502D,23100,20200,ARRENDAMIENTO DE EDIFICIOS Y OTRAS CONSTRUCCIONES,18000.0,,18000.0,16322.29,
0502D,23100,21200,REPAR/MANTEN. EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,8.7,
0502D,23100,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,,,,72.12,
0502D,23100,22110,PRODUCTOS DE LIMPIEZA Y ASEO,,,,199.16,
0502D,23100,22403,PRIMAS DE SEGUROS. OTROS RIESGOS,600.0,,600.0,545.66,
0502D,23100,22699,OTROS GASTOS DIVERSOS,11700.0,,11700.0,11127.03,
0502D,23100,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,750.0,,750.0,1175.58,
0502D,23100,48000,ATENCIONES BENÉFICAS Y ASISTENCIALES,9900.0,,9900.0,8476.0,
0502D,32600,21300,"REPAR/MANTEN. MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE",100.0,,100.0,,
0502D,32600,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,100.0,,100.0,,
0502D,32600,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,50.0,,50.0,,
0502D,32600,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,800.0,,800.0,699.82,
0502D,32600,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,200.0,,200.0,700.0,
0502D,32600,22110,PRODUCTOS DE LIMPIEZA Y ASEO,700.0,,700.0,603.48,
0502D,32600,22300,GASTOS DE TRANSPORTES,3000.0,,3000.0,,
0502D,32600,22609,ACTIVIDADES CULTURALES Y DEPORTIVAS,1700.0,,1700.0,,
0502D,32600,22699,OTROS GASTOS DIVERSOS,12000.0,,12000.0,11333.44,
0502D,92400,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,112.02,,112.02,,
0502D,92400,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,11622.84,,11622.84,11613.25,
0502D,92400,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,17453.52,,16719.08,16719.08,
0502D,92400,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,7146.6,,7146.6,6841.57,
0502D,92400,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,15976.16,,15079.72,15079.71,
0502D,92400,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,15820.16,,15820.16,15391.33,
0502D,92400,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,32883.44,,32883.44,32071.16,
